Country,MillionsUSD,Ranking
United States,"25,439,700",1
China,"17,963,171",2
Japan,"4,232,174",3
Germany,"4,082,469",4
India,"3,416,646",5
United Kingdom,"3,089,073",6
France,"2,779,092",7
Russian Federation,"2,240,422",8
Canada,"2,137,939",9
Italy,"2,049,737",10
Brazil,"1,920,096",11
Australia,"1,692,957",12
"Korea, Rep.","1,673,916",13
Mexico,"1,465,854",14
Spain,"1,417,800",15
Indonesia,"1,319,100",16
Saudi Arabia,"1,108,572",17
Netherlands,"1,009,399",18
Türkiye,"907,118",19
Switzerland,"818,427",20
Poland,"688,125",21
Cuba,"633,442",22
Argentina,"631,133",23
Sweden,"591,189",24
Belgium,"583,436",25
Norway,"579,422",26
Ireland,"533,140",27
Israel,"525,002",28
United Arab Emirates,"507,064",29
Thailand,"495,423",30
"Egypt, Arab Rep.","476,748",31
Nigeria,"472,625",32
Austria,"470,942",33
Singapore,"466,788",34
Bangladesh,"460,201",35
"Iran, Islamic Rep.","413,493",36
Viet Nam,"408,802",37
Malaysia,"407,027",38
South Africa,"405,271",39
Philippines,"404,284",40
Denmark,"400,167",41
Pakistan,"374,697",42
"Hong Kong SAR, China","359,839",43
Colombia,"343,622",44
Chile,"301,025",45
Romania,"300,691",46
Czech Republic,"290,528",47
Finland,"282,896",48
Iraq,"264,182",49
Portugal,"255,197",50
New Zealand,"248,102",51
Peru,"242,632",52
Qatar,"236,258",53
Kazakhstan,"225,496",54
Greece,"217,581",55
Algeria,"194,998",56
Hungary,"177,337",57
Kuwait,"175,363",58
Ukraine,"160,503",59
Morocco,"130,913",60
Ethiopia,"126,783",61
Slovak Republic,"115,462",62
Ecuador,"115,049",63
Oman,"114,667",64
Dominican Republic,"113,537",65
Puerto Rico,"113,435",66
Kenya,"113,420",67
Angola,"106,783",68
Guatemala,"95,003",69
Bulgaria,"90,346",70
Luxembourg,"81,642",71
Uzbekistan,"80,392",72
Azerbaijan,"78,721",73
Panama,"76,523",74
Tanzania,"75,732",75
Sri Lanka,"74,404",76
Ghana,"73,766",77
Belarus,"72,793",78
Croatia,"71,600",79
Uruguay,"71,177",80
Lithuania,"70,974",81
Côte d'Ivoire,"70,019",82
Costa Rica,"69,244",83
"Congo, Dem. Rep.","64,719",84
Serbia,"63,563",85
Myanmar,"62,263",86
Slovenia,"60,063",87
Turkmenistan,"56,543",88
Sudan,"51,662",89
Jordan,"48,653",90
Tunisia,"46,304",91
Libya,"45,752",92
Uganda,"45,567",93
Bahrain,"44,383",94
Bolivia,"44,008",95
Cameroon,"43,644",96
Paraguay,"41,722",97
Latvia,"40,932",98
Nepal,"40,828",99
Estonia,"38,101",100
El Salvador,"32,489",101
Honduras,"31,718",102
Papua New Guinea,"31,604",103
Trinidad and Tobago,"30,054",104
Cambodia,"29,505",105
Cyprus,"29,251",106
Zambia,"29,164",107
Iceland,"28,065",108
Senegal,"27,684",109
Zimbabwe,"27,367",110
Georgia,"24,781",111
Bosnia and Herzegovina,"24,474",112
"Macao SAR, China","24,042",113
Lebanon,"23,132",114
Gabon,"21,072",115
Guinea,"20,999",116
Botswana,"20,356",117
Haiti,"20,254",118
Armenia,"19,513",119
West Bank and Gaza,"19,112",120
Albania,"18,916",121
Mali,"18,827",122
Burkina Faso,"18,820",123
Mozambique,"18,407",124
Malta,"18,126",125
Benin,"17,397",126
Mongolia,"17,146",127
